Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,6,21/02/2018 08:33:25,37953,5,3,135,127,135,0,27.0,60.37383539,127,0,42.33333333,73.32348419,6903.275103,210.7870261,5421.857143,5403.580246,12099,23,37953,9488.25,3245.485108,12382,6013,19960,9980.0,13546.75171,19559,401,0,0,0,0,168,104,131.7418913,79.04513477,0,135,29.11111111,57.80018262,3340.861111,0,0,0,1,0,0,0,0,0,32.75,27.0,42.33333333,0,0,0,0,0,0,5,135,3,127,29200,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
500,17,21/02/2018 08:33:06,117573474,3,0,1500,0,500,500,500.0,0.0,0,0,0.0,0.0,12.75797975,0.025515959,58800000.0,23800000.0,75600000,42000000,118000000,58800000.0,23800000.0,75600000,42000000,0,0.0,0.0,0,0,0,0,0,0,24,0,0.025515959,0.0,500,500,500.0,0.0,0.0,0,0,0,0,0,0,0,0,0,666.6666667,500.0,0.0,0,0,0,0,0,0,3,1500,0,0,-1,-1,2,8,0.0,0.0,0,0,58800000.0,23800000.0,75600000,42000000,Benign
500,17,21/02/2018 08:33:06,117573474,3,0,1500,0,500,500,500.0,0.0,0,0,0.0,0.0,12.75797975,0.025515959,58800000.0,23800000.0,75600000,42000000,118000000,58800000.0,23800000.0,75600000,42000000,0,0.0,0.0,0,0,0,0,0,0,24,0,0.025515959,0.0,500,500,500.0,0.0,0.0,0,0,0,0,0,0,0,0,0,666.6666667,500.0,0.0,0,0,0,0,0,0,3,1500,0,0,-1,-1,2,8,0.0,0.0,0,0,58800000.0,23800000.0,75600000,42000000,Benign
500,17,21/02/2018 08:33:11,99743998,5,0,2500,0,500,500,500.0,0.0,0,0,0.0,0.0,25.06416476,0.05012833,24900000.0,34000000.0,75600000,4000290,99700000,24900000.0,34000000.0,75600000,4000290,0,0.0,0.0,0,0,0,0,0,0,40,0,0.05012833,0.0,500,500,500.0,0.0,0.0,0,0,0,0,0,0,0,0,0,600.0,500.0,0.0,0,0,0,0,0,0,5,2500,0,0,-1,-1,4,8,4000290.0,0.0,4000290,4000290,31900000.0,37900000.0,75600000,7200397,Benign
500,17,21/02/2018 08:33:11,99743999,5,0,2500,0,500,500,500.0,0.0,0,0,0.0,0.0,25.06416451,0.050128329,24900000.0,34000000.0,75600000,4000286,99700000,24900000.0,34000000.0,75600000,4000286,0,0.0,0.0,0,0,0,0,0,0,40,0,0.050128329,0.0,500,500,500.0,0.0,0.0,0,0,0,0,0,0,0,0,0,600.0,500.0,0.0,0,0,0,0,0,0,5,2500,0,0,-1,-1,4,8,4000286.0,0.0,4000286,4000286,31900000.0,37900000.0,75600000,7200399,Benign
500,17,21/02/2018 08:33:08,89479580,6,0,3000,0,500,500,500.0,0.0,0,0,0.0,0.0,33.52720252,0.067054405,17900000.0,15300000.0,42000000,4000308,89500000,17900000.0,15300000.0,42000000,4000308,0,0.0,0.0,0,0,0,0,0,0,48,0,0.067054405,0.0,500,500,500.0,0.0,0.0,0,0,0,0,0,0,0,0,0,583.3333333,500.0,0.0,0,0,0,0,0,0,6,3000,0,0,-1,-1,5,8,4000308.0,0.0,4000308,4000308,21400000.0,15300000.0,42000000,7200316,Benign
500,17,21/02/2018 08:33:08,89479579,6,0,3000,0,500,500,500.0,0.0,0,0,0.0,0.0,33.52720289,0.067054406,17900000.0,15300000.0,42000000,4000309,89500000,17900000.0,15300000.0,42000000,4000309,0,0.0,0.0,0,0,0,0,0,0,48,0,0.067054406,0.0,500,500,500.0,0.0,0.0,0,0,0,0,0,0,0,0,0,583.3333333,500.0,0.0,0,0,0,0,0,0,6,3000,0,0,-1,-1,5,8,4000309.0,0.0,4000309,4000309,21400000.0,15300000.0,42000000,7200313,Benign
0,0,21/02/2018 08:33:35,112641143,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633252,56300000.0,92.63098834,56300000,56300000,113000000,56300000.0,92.63098834,56300000,56300000,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026633252,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56300000.0,92.63098834,56300000,56300000,Benign
500,17,21/02/2018 08:35:14,117573740,3,0,1500,0,500,500,500.0,0.0,0,0,0.0,0.0,12.75795088,0.025515902,58800000.0,23800000.0,75600000,42000000,118000000,58800000.0,23800000.0,75600000,42000000,0,0.0,0.0,0,0,0,0,0,0,24,0,0.025515902,0.0,500,500,500.0,0.0,0.0,0,0,0,0,0,0,0,0,0,666.6666667,500.0,0.0,0,0,0,0,0,0,3,1500,0,0,-1,-1,2,8,0.0,0.0,0,0,58800000.0,23800000.0,75600000,42000000,Benign
500,17,21/02/2018 08:35:14,117573739,3,0,1500,0,500,500,500.0,0.0,0,0,0.0,0.0,12.75795099,0.025515902,58800000.0,23800000.0,75600000,42000000,118000000,58800000.0,23800000.0,75600000,42000000,0,0.0,0.0,0,0,0,0,0,0,24,0,0.025515902,0.0,500,500,500.0,0.0,0.0,0,0,0,0,0,0,0,0,0,666.6666667,500.0,0.0,0,0,0,0,0,0,3,1500,0,0,-1,-1,2,8,0.0,0.0,0,0,58800000.0,23800000.0,75600000,42000000,Benign
