row,forecast_probability,detection_probability,unified_threat_score,forecast_alert,detection_alert,threat_alert,operational_state,action,lead_time_seconds,timestamp,flow_count,attack_flows,is_active_attack,is_future_target_120s
0,0.0146,0.0028,0.0146,False,False,False,NORMAL_TELEMETRY,ALLOW_TRAFFIC,,01:57:30,558,0,0.0,0.0
1,0.0533,0.0031,0.0533,False,False,False,NORMAL_TELEMETRY,ALLOW_TRAFFIC,,01:57:40,248,0,0.0,0.0
2,0.0256,0.0031,0.0256,False,False,False,NORMAL_TELEMETRY,ALLOW_TRAFFIC,,01:57:50,88,0,0.0,0.0
3,0.0171,0.0036,0.0171,False,False,False,NORMAL_TELEMETRY,ALLOW_TRAFFIC,,01:58:00,74,0,0.0,0.0
4,0.0147,0.0002,0.0147,False,False,False,NORMAL_TELEMETRY,ALLOW_TRAFFIC,,01:58:10,101,0,0.0,0.0
5,0.003,0.0002,0.003,False,False,False,NORMAL_TELEMETRY,ALLOW_TRAFFIC,,01:58:20,140,0,0.0,0.0
6,0.006,0.0003,0.006,False,False,False,NORMAL_TELEMETRY,ALLOW_TRAFFIC,,01:58:30,104,0,0.0,0.0
7,0.029,0.0002,0.029,False,False,False,NORMAL_TELEMETRY,ALLOW_TRAFFIC,,01:58:40,142,0,0.0,0.0
8,0.0187,0.0002,0.0187,False,False,False,NORMAL_TELEMETRY,ALLOW_TRAFFIC,,01:58:50,231,0,0.0,0.0
9,0.0156,0.0002,0.0156,False,False,False,NORMAL_TELEMETRY,ALLOW_TRAFFIC,,01:59:00,101,0,0.0,0.0
10,0.0219,0.0003,0.0219,False,False,False,NORMAL_TELEMETRY,ALLOW_TRAFFIC,,01:59:10,348,0,0.0,0.0
11,0.9628,0.0007,0.9628,True,False,True,IMMINENT_ATTACK_ADVISORY,PRE_ARM_FIREWALL_AND_STANDBY,120.0,01:59:20,426,0,0.0,1.0
12,0.9447,0.0009,0.9447,True,False,True,IMMINENT_ATTACK_ADVISORY,PRE_ARM_FIREWALL_AND_STANDBY,120.0,01:59:30,281,0,0.0,1.0
13,0.9667,0.0024,0.9667,True,False,True,IMMINENT_ATTACK_ADVISORY,PRE_ARM_FIREWALL_AND_STANDBY,120.0,01:59:40,107,0,0.0,1.0
14,0.9677,0.0012,0.9677,True,False,True,IMMINENT_ATTACK_ADVISORY,PRE_ARM_FIREWALL_AND_STANDBY,120.0,01:59:50,250,0,0.0,1.0
15,0.9717,0.0003,0.9717,True,False,True,IMMINENT_ATTACK_ADVISORY,PRE_ARM_FIREWALL_AND_STANDBY,120.0,02:00:00,221,0,0.0,1.0
16,0.9518,0.0002,0.9518,True,False,True,IMMINENT_ATTACK_ADVISORY,PRE_ARM_FIREWALL_AND_STANDBY,120.0,02:00:10,114,0,0.0,1.0
17,0.9487,0.0003,0.9487,True,False,True,IMMINENT_ATTACK_ADVISORY,PRE_ARM_FIREWALL_AND_STANDBY,120.0,02:00:20,128,0,0.0,1.0
18,0.8973,0.0002,0.8973,True,False,True,IMMINENT_ATTACK_ADVISORY,PRE_ARM_FIREWALL_AND_STANDBY,120.0,02:00:30,114,0,0.0,1.0
19,0.918,0.0002,0.918,True,False,True,IMMINENT_ATTACK_ADVISORY,PRE_ARM_FIREWALL_AND_STANDBY,120.0,02:00:40,93,0,0.0,1.0
20,0.9396,0.0002,0.9396,True,False,True,IMMINENT_ATTACK_ADVISORY,PRE_ARM_FIREWALL_AND_STANDBY,120.0,02:00:50,143,0,0.0,1.0
21,0.9454,0.0003,0.9454,True,False,True,IMMINENT_ATTACK_ADVISORY,PRE_ARM_FIREWALL_AND_STANDBY,120.0,02:01:00,183,0,0.0,1.0
22,0.9717,0.0003,0.9717,True,False,True,IMMINENT_ATTACK_ADVISORY,PRE_ARM_FIREWALL_AND_STANDBY,120.0,02:01:10,89,0,0.0,1.0
23,0.0046,0.3967,0.3967,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:01:20,83,7,1.0,1.0
24,0.5065,0.0002,0.5065,True,False,True,IMMINENT_ATTACK_ADVISORY,PRE_ARM_FIREWALL_AND_STANDBY,120.0,02:01:30,60,0,0.0,1.0
25,0.853,0.0002,0.853,True,False,True,IMMINENT_ATTACK_ADVISORY,PRE_ARM_FIREWALL_AND_STANDBY,120.0,02:01:40,65,0,0.0,1.0
26,0.0012,0.5825,0.5825,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:01:50,285,206,1.0,1.0
27,0.011,0.4389,0.4389,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:02:00,524,210,1.0,1.0
28,0.0051,0.8162,0.8162,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:02:10,362,214,1.0,1.0
29,0.0249,0.9993,0.9993,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:02:20,338,212,1.0,1.0
30,0.0101,0.9993,0.9993,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:02:30,311,219,1.0,1.0
31,0.0123,0.999,0.999,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:02:40,285,213,1.0,1.0
32,0.0026,0.9987,0.9987,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:02:50,316,213,1.0,1.0
33,0.0039,0.9989,0.9989,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:03:00,320,212,1.0,1.0
34,0.0005,0.9813,0.9813,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:03:10,841,222,1.0,1.0
35,0.0034,0.9913,0.9913,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:03:20,822,210,1.0,1.0
36,0.002,0.9777,0.9777,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:03:30,463,218,1.0,1.0
37,0.0095,0.9928,0.9928,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:03:40,630,213,1.0,1.0
38,0.0115,0.9968,0.9968,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:03:50,317,223,1.0,1.0
39,0.0055,0.9993,0.9993,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:04:00,317,215,1.0,1.0
40,0.0072,0.999,0.999,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:04:10,296,209,1.0,1.0
41,0.0024,0.9971,0.9971,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:04:20,290,220,1.0,1.0
42,0.0041,0.9986,0.9986,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:04:30,284,214,1.0,1.0
43,0.0053,0.9981,0.9981,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:04:40,379,222,1.0,1.0
44,0.0048,0.9986,0.9986,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:04:50,633,220,1.0,1.0
45,0.0038,0.9984,0.9984,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:05:00,304,211,1.0,1.0
46,0.0272,0.9971,0.9971,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:05:10,373,211,1.0,1.0
47,0.005,0.9983,0.9983,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:05:20,380,218,1.0,1.0
48,0.0059,0.9988,0.9988,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:05:30,397,213,1.0,1.0
49,0.0099,0.9955,0.9955,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:05:40,298,214,1.0,1.0
50,0.0041,0.9974,0.9974,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:05:50,316,216,1.0,1.0
51,0.0027,0.999,0.999,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:06:00,410,212,1.0,1.0
52,0.0026,0.9957,0.9957,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:06:10,449,217,1.0,1.0
53,0.0129,0.9772,0.9772,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:06:20,310,213,1.0,1.0
